"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"3","systematic corticosteroids","1518254","3264","dexamethasone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","975125","5492","hydrocortisone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","1551099","8640","prednisone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","1506270","6902","methylprednisolone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","1550557","8638","prednisolone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","19027186","7910","paramethasone","Drug","RxNorm","S","false","true","false"
"3","systematic corticosteroids","1507705","2878","cortisone","Drug","RxNorm","S","false","true","false"
"7","Chronic lower respiratory disease","256451","32398004","Bronchitis","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","45768908","707440005","Exercise induced bronchospasm","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","255573","13645005","Chronic obstructive lung disease","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","317009","195967001","Asthma","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","256449","12295008","Bronchiectasis","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","4163244","45145000","Unilateral emphysema","Observation","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","260139","10509002","Acute bronchitis","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","256896","186178000","Tuberculosis of bronchus","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","257775","23022004","Tuberculous bronchiectasis","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","260134","71186008","Croup","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","257778","27836007","Pertussis","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","256722","396285007","Bronchopneumonia","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","440748","77690003","Interstitial emphysema of lung","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","255059","77593006","Congenital bronchiectasis","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","45757063","103781000119103","Allergic bronchopulmonary mycosis","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","261895","33325001","Compensatory emphysema","Condition","SNOMED","S","true","true","false"
"7","Chronic lower respiratory disease","3655113","846635004","Chronic respiratory condition caused by vapors","Condition","SNOMED","S","false","true","false"
"7","Chronic lower respiratory disease","439298","196019004","Bronchitis and pneumonitis due to chemical fumes","Condition","SNOMED","S","true","true","false"
"8","Emergency room or Emergency room and Inpatient Visit","262","ERIP","Emergency Room and Inpatient Visit","Visit","Visit","S","false","true","false"
"8","Emergency room or Emergency room and Inpatient Visit","9203","ER","Emergency Room Visit","Visit","Visit","S","false","true","false"
"9","Inpatient or Inpatient/ER visit","262","ERIP","Emergency Room and Inpatient Visit","Visit","Visit","S","false","true","false"
"9","Inpatient or Inpatient/ER visit","9201","IP","Inpatient Visit","Visit","Visit","S","false","true","false"
"10","respiratory disease","252235","29731002","Tuberculous pneumothorax","Condition","SNOMED","S","false","true","false"
