"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"0","Inpatient or inpatient ER visit","262","ERIP","Emergency Room and Inpatient Visit","Visit","Visit","Visit"
"0","Inpatient or inpatient ER visit","9201","IP","Inpatient Visit","Visit","Visit","Visit"
"3","Chronic lower respiratory disease","4052549","233628009","Acquired bronchiectasis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","257581","281239006","Acute asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","4148242","266403005","Acute chemical bronchitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45769441","708093000","Acute exacerbation of allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","46273452","99031000119107","Acute exacerbation of asthma co-occurrent with allergic rhinitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","40483342","445378003","Acute exacerbation of bronchiectasis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","40481763","442025000","Acute exacerbation of chronic asthmatic bronchitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","4137525","425748003","Acute exacerbation of chronic bronchitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","257004","195951007","Acute exacerbation of chronic obstructive airways disease","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","43530693","1751000119100","Acute exacerbation of chronic obstructive airways disease with asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","46270376","293241000119100","Acute exacerbation of chronic obstructive bronchitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","37159957","10674791000119101","Acute exacerbation of intermittent allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45773005","708094006","Acute exacerbation of intrinsic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","37159958","10676271000119104","Acute exacerbation of moderate persistent allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","4115044","285381006","Acute infective exacerbation of chronic obstructive airways disease","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","44807895","847091000000104","Acute non-infective exacerbation of chronic obstructive pulmonary disease","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","36684328","782513000","Acute severe exacerbation of allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45769438","708090002","Acute severe exacerbation of asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","46269767","10674711000119105","Acute severe exacerbation of asthma co-occurrent with allergic rhinitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45769442","708095007","Acute severe exacerbation of immunoglobin E-mediated allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45769443","708096008","Acute severe exacerbation of intrinsic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","46274124","10675911000119109","Acute severe exacerbation of mild persistent allergic asthma","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","46269777","10675991000119100","Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis","Disorder","Condition","SNOMED"
"3","Chronic lower respiratory disease","45769352","707981009","Acute severe exacerbation of mild persistent asthma","Disorder","Condition","SNOMED"
