"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"0","Inpatient or inpatient ER visit","2514424","99255","Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 80 ","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","42738671","99261","Follow-up inpatient consultation for an established patient, which requires at least two of these three key components: a problem focused interval history; a problem focused examination; medical decision making that is straightforward or o... (Deprecated)","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","42738672","99262","Follow-up inpatient consultation for an established patient which requires at least two of these three key components: an expanded problem focused interval history; an expanded problem focused examination; medical decision making of modera... (Deprecated)","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514495","99356","Prolonged service in the inpatient or observation setting, requiring unit/floor time beyond the usual service; first hour (List separately in addition to code for inpatient or observation Evaluation and Management service)","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514423","99254","Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection,","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514496","99357","Prolonged service in the inpatient or observation setting, requiring unit/floor time beyond the usual service; each additional 30 minutes (List separately in addition to code for prolonged service)","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","42733800","99263","Follow-up inpatient consultation for an established patient which requires at least two of these three key components: a detailed interval history; a detailed examination; medical decision making of high complexity. Counseling and/or coord... (Deprecated)","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514420","99251","Inpatient consultation for a new or established patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physic","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514422","99253","Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 45 m","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2514421","99252","Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 3","CPT4","Observation","CPT4"
"0","Inpatient or inpatient ER visit","2721702","T2045","Hospice general inpatient care; per diem","HCPCS","Observation","HCPCS"
"0","Inpatient or inpatient ER visit","2721701","T2044","Hospice inpatient respite care; per diem","HCPCS","Observation","HCPCS"
"0","Inpatient or inpatient ER visit","2618110","H0011","Alcohol and/or drug services; acute detoxification (residential addiction program inpatient)","HCPCS","Procedure","HCPCS"
"0","Inpatient or inpatient ER visit","2618109","H0010","Alcohol and/or drug services; sub-acute detoxification (residential addiction program inpatient)","HCPCS","Procedure","HCPCS"
"0","Inpatient or inpatient ER visit","8892","28","Other Inpatient Care","Visit","Visit","CMS Place of Service"
"0","Inpatient or inpatient ER visit","9201","IP","Inpatient Visit","Visit","Visit","Visit"
"0","Inpatient or inpatient ER visit","262","ERIP","Emergency Room and Inpatient Visit","Visit","Visit","Visit"
"0","Inpatient or inpatient ER visit","0","TELEMETRY UNIT","TELEMETRY UNIT",,,"JNJ_OPTUM_EHR_VISIT"
